user_id,item_id,time,label
1,8275,4018,2
2,59018,3954,2
3,50873,4085,2
4,28673,4000,2
5,50376,3568,2
6,57411,3570,2
7,58813,3972,2
8,47500,3739,2
9,32486,4099,2
10,41001,3680,2
10,22955,3896,1
10,45963,3737,2
10,44376,3942,1
11,57683,3716,2
12,51644,3499,2
13,25840,3514,2
14,49887,4045,2
15,19877,4044,2
16,15863,3651,2
17,53714,3710,2
18,4873,4101,2
19,44771,3763,2
20,13172,4022,2
21,41689,3933,2
22,19987,3695,2
23,4186,4049,2
24,49182,3749,2
25,66002,4010,2
26,56284,3553,2
27,37985,3513,2
28,49392,3789,2
29,23574,3623,2
30,17,4001,2
31,19237,3857,2
32,6034,3756,2
33,52108,3486,2
34,26998,4008,2
35,19729,4040,2
36,45690,4023,2
36,34655,4023,2
36,9607,4023,2
36,50482,4023,1
37,39763,3712,2
38,10049,3685,2
39,59341,3931,2
40,3582,3562,2
41,35465,3932,2
42,5853,3833,2
43,23404,3540,2
44,59928,3927,1
44,59316,3926,2
44,61087,3980,1
45,67300,4106,2
46,30540,3512,2
47,36605,3732,2
48,40488,3870,2
48,31317,3870,1
49,13094,3780,2
49,24595,3780,2
49,3796,3780,2
49,6136,3780,2
50,13968,4033,2
51,65676,4063,2
52,15220,4087,2
53,36715,3686,2
54,61341,4113,1
54,67122,4113,2
54,65803,4113,2
54,55436,4113,1
54,54057,4113,1
54,66281,4113,2
54,51727,4113,1
55,43249,3613,2
56,10511,3663,2
57,2461,3702,2
57,47501,3702,2
57,24275,3702,1
58,35366,4051,2
59,21309,3702,2
60,44815,3674,2
60,44452,3627,2
61,24781,3710,2
62,14683,3914,2
63,56350,4106,2
64,32713,3828,2
65,6369,3559,2
65,59951,4047,1
65,58841,3742,2
65,25555,3871,2
65,49780,3871,2
65,26218,3871,2
65,1305,4047,1
65,18461,3559,1
65,255,4084,1
65,34137,4047,1
65,23114,3911,2
66,22250,3828,2
67,7596,4014,2
68,36598,3636,2
69,37407,3533,2
