user_id,item_id,time,cate_id
41064,13179,1396656000,584
89202,13179,1380499200,584
95407,13179,1364688000,584
101617,13179,1389657600,584
174964,13179,1363478400,584
0,17993,1400457600,513
21000,17993,1319068800,513
49434,17993,1398124800,513
54076,17993,1337212800,513
71286,17993,1331510400,513
76743,17993,1392163200,513
82584,17993,1355443200,513
87805,17993,1403395200,513
97410,17993,1274227200,513
101374,17993,1268265600,513
111328,17993,1365033600,513
113393,17993,1393977600,513
177504,17993,1288656000,513
0,28326,1400457600,587
4086,28326,1388361600,587
4881,28326,1364688000,587
14980,28326,1400630400,587
93473,28326,1358467200,587
95607,28326,1386720000,587
95647,28326,1397174400,587
101274,28326,1395619200,587
102850,28326,1371513600,587
119998,28326,1374710400,587
153429,28326,1339286400,587
177785,28326,1384387200,587
0,29247,1400457600,339
15,29247,1374364800,339
75,29247,1400284800,339
85,29247,1389312000,339
112,29247,1396310400,339
130,29247,1367366400,339
136,29247,1333670400,339
162,29247,1387411200,339
211,29247,1386374400,339
245,29247,1375056000,339
247,29247,1386288000,339
345,29247,1384732800,339
407,29247,1390176000,339
442,29247,1398729600,339
451,29247,1361232000,339
470,29247,1359158400,339
516,29247,1390089600,339
520,29247,1389484800,339
592,29247,1364947200,339
650,29247,1401062400,339
753,29247,1388620800,339
809,29247,1359331200,339
824,29247,1365638400,339
888,29247,1387497600,339
921,29247,1402963200,339
963,29247,1391817600,339
1030,29247,1363219200,339
1044,29247,1388448000,339
1050,29247,1364083200,339
1080,29247,1358208000,339
1140,29247,1374710400,339
1161,29247,1397260800,339
1163,29247,1390262400,339
1164,29247,1383091200,339
1188,29247,1369526400,339
1238,29247,1373673600,339
1246,29247,1397520000,339
1247,29247,1303603200,339
1390,29247,1399852800,339
1430,29247,1377043200,339
1468,29247,1392508800,339
1481,29247,1354752000,339
1507,29247,1376524800,339
1550,29247,1390262400,339
1582,29247,1316476800,339
1607,29247,1304726400,339
1695,29247,1358553600,339
1726,29247,1363132800,339
1887,29247,1388793600,339
1928,29247,1354665600,339
1949,29247,1385251200,339
1965,29247,1380067200,339
1990,29247,1391299200,339
1999,29247,1391904000,339
2146,29247,1338940800,339
2238,29247,1327449600,339
2248,29247,1354579200,339
2498,29247,1400025600,339
2590,29247,1399161600,339
2612,29247,1389484800,339
2708,29247,1365638400,339
2731,29247,1395014400,339
2756,29247,1382054400,339
2838,29247,1369958400,339
2974,29247,1365724800,339
3070,29247,1294790400,339
3139,29247,1388448000,339
3192,29247,1359590400,339
3208,29247,1363564800,339
